Theater Name,City,Country,Capacity,Lat,Long
Civic Theatre,Auckland,New Zealand,"2,378",-36.8511,174.7639
Main Theater - Cultural Center of the Philippines,Manila,Philippines,"1,815",14.554,120.9752
Sydney Lyric Theatre,Sydney,Australia,2000,-33.8696,151.1996
Sands Theatre,Singapore,Singapore,2183,1.2831,103.8603
Grand Theater,Singapore,Singapore,"2,155",1.2931,103.8558
Circustheater,The Hague,Netherlands,"1,820",52.099,4.28
Charlotte Theater,Seoul,South Korea,1241,37.5139,127.1
Renault Theatre,São Paulo,Brazil,1530,-23.5614,-46.6556
Universal Studios Japan,Osaka,Japan,506,34.6654,135.4323
City Theatre,Helsinki,Finland,947,60.1695,24.9354
Det Ny Teater,Copenhagen,Denmark,1000,55.6759,12.5655
Santander Theater,São Paulo,Brazil,1084,-23.5614,-46.6556
Gothenburg Opera House,Gothenburg,Sweden,1300,57.706,11.9668
Fredericia Musicalteater,Fredericia,Denmark,1050,55.5657,9.7526
Tivoli Concert Hall,Copenhagen,Denmark,1660,55.6736,12.5681
Folketeateret,Oslo,Norway,1400,59.9139,10.7522
ROMA Musical Theatre,Warsaw,Poland,1000,52.2297,21.0122
Nuevo Teatro Alcala,Madrid,Spain,"1,240",40.4234,-3.6782
Dentsu Shiki Theatre UMI,Tokyo,Japan,"1,200",35.6641,139.7595
Osaka Shiki Theatre,Osaka,Japan,"1,200",34.7025,135.494
Fukuoka City Theatre,Fukuoka,Japan,"1,100",33.5902,130.4017
Nagoya Shiki Theatre,Nagoya,Japan,"1,200",35.1709,136.8815
Hokkaido Shiki Theatre,Sapporo,Japan,900,43.0687,141.3508
